epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.4033,1.16671,1.88068,1.66038,0.69967,0.77931,0.81412,0.45315,1.40132,1.44937,2.85134,0.00046943,0.00046943,0.00046943
2,47.5327,1.05949,0.88794,1.52897,0.31175,0.4658,0.28907,0.14082,2.09206,3.08304,3.24133,0.0009364,0.0009364,0.0009364
3,69.1755,1.02628,0.7975,1.51912,0.67349,0.62458,0.65535,0.37063,1.35612,2.44712,2.54366,0.00139394,0.00139394,0.00139394
4,90.6066,0.98807,0.75067,1.48008,0.83368,0.81221,0.88222,0.53023,1.47381,1.11682,2.66688,0.00138656,0.00138656,0.00138656
5,111.971,0.97677,0.67651,1.4646,0.88812,0.88372,0.91864,0.63383,1.04627,0.79662,2.09958,0.00137241,0.00137241,0.00137241
6,133.311,0.92818,0.63311,1.41925,0.5815,0.88759,0.78032,0.5556,1.01979,1.19332,1.93732,0.00135826,0.00135826,0.00135826
7,154.663,0.90549,0.60861,1.40391,0.93197,0.92626,0.97992,0.74797,0.92315,0.55883,1.7969,0.00134412,0.00134412,0.00134412
8,176.117,0.89189,0.58044,1.38858,0.96645,0.96261,0.99242,0.71894,0.98817,0.56119,1.83384,0.00132997,0.00132997,0.00132997
9,197.453,0.8899,0.56245,1.39626,0.98706,0.97342,0.99463,0.7279,1.02185,0.599,1.87143,0.00131582,0.00131582,0.00131582
10,218.857,0.878,0.53199,1.37511,0.9626,0.94689,0.98796,0.76977,0.93297,0.54809,1.75262,0.00130168,0.00130168,0.00130168
11,240.22,0.86891,0.53579,1.36657,0.98509,0.98493,0.99446,0.7826,0.89814,0.44445,1.7121,0.00128753,0.00128753,0.00128753
12,261.644,0.86957,0.53262,1.36939,0.99711,1,0.995,0.80546,0.80146,0.36456,1.63422,0.00127338,0.00127338,0.00127338
13,283.021,0.83732,0.5084,1.35009,0.98609,0.9774,0.99346,0.79098,0.80853,0.45639,1.62509,0.00125923,0.00125923,0.00125923
14,304.398,0.8256,0.50552,1.34656,0.99052,0.99157,0.995,0.79605,0.80969,0.42857,1.61509,0.00124509,0.00124509,0.00124509
