epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.7372,1.88918,4.854,2.46232,0.4216,0.67891,0.6655,0.20254,2.51895,5.68921,2.04947,0.000472882,0.000472882,0.000472882
2,74.6672,1.44604,3.00315,2.07759,0.60164,0.50472,0.57225,0.19216,2.60327,3.61417,2.08431,0.000939818,0.000939818,0.000939818
3,120.034,1.36069,2.35105,1.97663,0.6323,0.66868,0.71366,0.29422,2.08679,2.09365,1.87303,0.00139732,0.00139732,0.00139732
4,145.898,1.29601,1.81639,1.94623,0.59297,0.71084,0.70012,0.19715,2.42834,1.65539,2.07805,0.00138656,0.00138656,0.00138656
5,190.963,1.24639,1.43221,1.91955,0.78256,0.82418,0.92845,0.45413,1.85232,1.28017,1.61317,0.00137241,0.00137241,0.00137241
6,235.868,1.16037,1.1913,1.83912,0.80752,0.92488,0.92111,0.49475,1.6704,1.01324,1.86234,0.00135826,0.00135826,0.00135826
7,281.081,1.13581,1.04077,1.81963,0.89467,0.81,0.91343,0.50434,1.56373,1.02586,1.4339,0.00134412,0.00134412,0.00134412
8,325.554,1.14282,0.95985,1.7995,0.94471,0.84707,0.96835,0.51303,1.77754,1.03462,1.51592,0.00132997,0.00132997,0.00132997
9,351.792,1.09922,0.89608,1.75534,0.67356,0.73493,0.76718,0.39133,1.79249,1.89626,1.65538,0.00131582,0.00131582,0.00131582
10,390.755,1.0818,0.83837,1.74184,0.98199,0.98345,0.99222,0.6417,1.40257,0.66516,1.41197,0.00130168,0.00130168,0.00130168
11,435.272,1.07011,0.80774,1.72817,0.98712,0.99297,0.99497,0.62129,1.47646,0.69373,1.39837,0.00128753,0.00128753,0.00128753
12,479.666,1.05409,0.75005,1.67613,0.99399,1,0.995,0.67613,1.34759,0.59664,1.22955,0.00127338,0.00127338,0.00127338
13,524.197,1.03346,0.74858,1.70477,0.99844,0.99772,0.995,0.62755,1.49037,0.64239,1.23009,0.00125923,0.00125923,0.00125923
14,568.882,1.02661,0.7299,1.65883,0.9497,0.93011,0.98643,0.65686,1.39391,0.67933,1.38167,0.00124509,0.00124509,0.00124509
15,606.238,1.02486,0.70766,1.687,0.99454,0.98839,0.99472,0.67149,1.3485,0.60693,1.22021,0.00123094,0.00123094,0.00123094
16,652.651,0.99356,0.66573,1.66198,0.99322,1,0.995,0.66682,1.3684,0.58797,1.26023,0.00121679,0.00121679,0.00121679
17,698.478,1.01896,0.67785,1.65856,0.98342,0.99247,0.99422,0.66709,1.35879,0.59738,1.13595,0.00120265,0.00120265,0.00120265
18,744.635,0.9992,0.65393,1.64636,0.99825,1,0.995,0.66313,1.36064,0.52661,1.19719,0.0011885,0.0011885,0.0011885
19,784.096,0.99288,0.65022,1.64727,0.99825,0.99743,0.995,0.67874,1.30674,0.56062,1.23158,0.00117435,0.00117435,0.00117435
20,828.312,0.95864,0.62515,1.60577,0.98734,0.9982,0.99473,0.63721,1.37297,0.58745,1.19155,0.00116021,0.00116021,0.00116021
21,876.544,1.0042,0.62267,1.62755,0.99579,1,0.995,0.61863,1.42172,0.60615,1.3545,0.00114606,0.00114606,0.00114606
22,920.903,1.00849,0.63461,1.63493,0.99333,0.99742,0.995,0.67828,1.33346,0.54138,1.14686,0.00113191,0.00113191,0.00113191
23,953.859,0.97037,0.58935,1.59623,0.99062,0.99618,0.99488,0.68397,1.31789,0.56376,1.17875,0.00111776,0.00111776,0.00111776
24,977.741,0.95624,0.58178,1.58745,0.95152,1,0.99212,0.644,1.41272,0.62662,1.31874,0.00110362,0.00110362,0.00110362
25,1015.23,0.96297,0.58564,1.57673,0.98779,0.98701,0.99491,0.66486,1.3479,0.58371,1.2172,0.00108947,0.00108947,0.00108947
26,1059.06,0.93992,0.56637,1.56584,0.99592,0.97282,0.99495,0.68594,1.28117,0.5486,1.07691,0.00107532,0.00107532,0.00107532
27,1102.84,0.94417,0.56657,1.57157,0.97421,0.96688,0.9888,0.68452,1.29471,0.56271,1.04607,0.00106118,0.00106118,0.00106118
28,1146.61,0.93956,0.55697,1.56573,0.99898,1,0.995,0.6724,1.37839,0.5487,1.23257,0.00104703,0.00104703,0.00104703
29,1190.34,0.95239,0.55838,1.56247,0.99736,1,0.995,0.68813,1.31011,0.5229,1.12179,0.00103288,0.00103288,0.00103288
30,1234.13,0.93698,0.5294,1.51995,0.99658,0.99148,0.995,0.68102,1.35059,0.56858,1.19381,0.00101873,0.00101873,0.00101873
