epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.7718,0.93889,3.91427,1.49914,0.25993,0.41891,0.23045,0.17447,0.86298,2.43486,1.73156,0.00332583,0.00332583,0.00332583
2,128.345,0.89159,2.34816,1.38948,0.64376,0.64772,0.61575,0.48516,0.83572,1.51867,1.65788,0.00659323,0.00659323,0.00659323
3,211.912,0.90339,1.86141,1.38112,0.64951,0.59614,0.64269,0.44943,1.11632,1.66133,2.13572,0.00979464,0.00979464,0.00979464
4,297.305,0.90366,1.66008,1.37654,0.71499,0.8165,0.76178,0.60295,0.81647,1.02407,1.63967,0.009703,0.009703,0.009703
5,382.843,0.87893,1.41194,1.34929,0.70089,0.74511,0.73356,0.57695,0.82789,1.09833,1.64436,0.009604,0.009604,0.009604
6,468.463,0.85121,1.2328,1.33066,0.81348,0.81447,0.80502,0.65442,0.75739,0.91076,1.54292,0.009505,0.009505,0.009505
7,554.169,0.83683,1.10979,1.31454,0.81666,0.82382,0.82686,0.67687,0.74497,0.85243,1.51898,0.009406,0.009406,0.009406
8,639.639,0.81457,1.02337,1.30087,0.84097,0.85126,0.83514,0.67609,0.76477,0.79612,1.53678,0.009307,0.009307,0.009307
9,725,0.80471,0.97401,1.29381,0.8617,0.8287,0.88254,0.72146,0.74997,0.75389,1.525,0.009208,0.009208,0.009208
10,810.327,0.80427,0.93387,1.29087,0.88844,0.83667,0.86939,0.71106,0.74155,0.78555,1.51017,0.009109,0.009109,0.009109
11,895.674,0.78926,0.8928,1.27911,0.88427,0.83864,0.87748,0.72624,0.71818,0.66958,1.47517,0.00901,0.00901,0.00901
12,981.016,0.78754,0.88624,1.27746,0.84791,0.8519,0.88619,0.73551,0.7249,0.73277,1.48651,0.008911,0.008911,0.008911
13,1066.31,0.77657,0.85168,1.26854,0.846,0.88642,0.88589,0.73716,0.72368,0.7364,1.47108,0.008812,0.008812,0.008812
14,1147.78,0.77318,0.82909,1.26977,0.87118,0.85609,0.89092,0.73984,0.70646,0.72887,1.45811,0.008713,0.008713,0.008713
15,1218.6,0.76736,0.80823,1.26775,0.89977,0.87477,0.89281,0.74274,0.72268,0.73143,1.48207,0.008614,0.008614,0.008614
16,1303.97,0.75919,0.78716,1.25842,0.89754,0.89464,0.89597,0.74753,0.70989,0.66926,1.46083,0.008515,0.008515,0.008515
17,1389.22,0.75358,0.7671,1.25462,0.87918,0.89834,0.90378,0.75765,0.70031,0.63316,1.44323,0.008416,0.008416,0.008416
18,1474.52,0.74804,0.75867,1.25467,0.91847,0.89282,0.90219,0.75728,0.69818,0.60919,1.4414,0.008317,0.008317,0.008317
19,1559.76,0.7494,0.74763,1.25181,0.87396,0.90183,0.90772,0.76409,0.69636,0.59582,1.43702,0.008218,0.008218,0.008218
20,1644.98,0.74257,0.74112,1.24909,0.92372,0.88645,0.89873,0.75655,0.69461,0.60519,1.44239,0.008119,0.008119,0.008119
21,1730.2,0.74316,0.71537,1.24774,0.88025,0.90178,0.90453,0.76312,0.68896,0.62616,1.43043,0.00802,0.00802,0.00802
22,1815.47,0.73266,0.70591,1.23888,0.89676,0.9046,0.90299,0.75574,0.70321,0.61458,1.45497,0.007921,0.007921,0.007921
23,1900.71,0.73671,0.70856,1.24423,0.90025,0.89839,0.90475,0.75431,0.70918,0.66157,1.45373,0.007822,0.007822,0.007822
24,1985.91,0.73711,0.70201,1.23988,0.95509,0.89661,0.90507,0.76075,0.69003,0.59811,1.43412,0.007723,0.007723,0.007723
25,2071.21,0.72385,0.68556,1.23416,0.87036,0.91414,0.90879,0.76318,0.69849,0.62844,1.44155,0.007624,0.007624,0.007624
26,2155.06,0.72378,0.66866,1.23506,0.93404,0.91711,0.90932,0.76472,0.68956,0.55373,1.42485,0.007525,0.007525,0.007525
27,2238.93,0.72562,0.66503,1.23532,0.91954,0.92248,0.90782,0.76646,0.69335,0.59747,1.43203,0.007426,0.007426,0.007426
28,2322.77,0.72012,0.66606,1.23428,0.91209,0.93119,0.91146,0.77149,0.68127,0.56861,1.40914,0.007327,0.007327,0.007327
29,2406.59,0.71972,0.64538,1.22974,0.93463,0.91359,0.91475,0.77454,0.69059,0.59194,1.42739,0.007228,0.007228,0.007228
30,2490.48,0.71654,0.63375,1.22786,0.9222,0.90939,0.92225,0.7804,0.69015,0.55147,1.42461,0.007129,0.007129,0.007129
31,2576.5,0.70992,0.6431,1.2265,0.92493,0.91327,0.92023,0.78072,0.67782,0.52034,1.4113,0.00703,0.00703,0.00703
32,2660.35,0.70767,0.62753,1.22114,0.93161,0.91799,0.92025,0.78222,0.68297,0.54438,1.41943,0.006931,0.006931,0.006931
33,2744.21,0.70915,0.62424,1.22672,0.96004,0.92221,0.92301,0.78928,0.67343,0.5196,1.40387,0.006832,0.006832,0.006832
34,2828.12,0.70386,0.61726,1.22069,0.9651,0.92255,0.91525,0.77405,0.6785,0.56815,1.4081,0.006733,0.006733,0.006733
35,2911.97,0.70797,0.61754,1.2224,0.95072,0.91686,0.91328,0.77177,0.68603,0.53966,1.41914,0.006634,0.006634,0.006634
36,2995.89,0.70851,0.60598,1.22076,0.93596,0.93581,0.92275,0.78005,0.67466,0.55583,1.40495,0.006535,0.006535,0.006535
37,3079.77,0.70302,0.60098,1.21839,0.95806,0.92581,0.915,0.78066,0.67756,0.55327,1.40652,0.006436,0.006436,0.006436
38,3163.63,0.70347,0.59325,1.21855,0.96859,0.92531,0.91539,0.7784,0.67901,0.52703,1.40762,0.006337,0.006337,0.006337
39,3247.51,0.69986,0.59371,1.21785,0.94612,0.94114,0.92438,0.78237,0.67466,0.51191,1.40526,0.006238,0.006238,0.006238
40,3331.41,0.69808,0.5717,1.21489,0.95364,0.92374,0.91376,0.77565,0.67468,0.52784,1.40324,0.006139,0.006139,0.006139
41,3415.32,0.69049,0.57109,1.21136,0.94005,0.92881,0.92317,0.78984,0.67463,0.52362,1.40336,0.00604,0.00604,0.00604
42,3499.19,0.69559,0.56661,1.21248,0.95818,0.93716,0.92422,0.7819,0.66907,0.53498,1.39504,0.005941,0.005941,0.005941
43,3583.06,0.69055,0.57314,1.21161,0.96851,0.93124,0.92532,0.78356,0.66916,0.50672,1.39826,0.005842,0.005842,0.005842
44,3666.92,0.6896,0.55688,1.20661,0.9482,0.93594,0.91491,0.78544,0.67344,0.52783,1.40261,0.005743,0.005743,0.005743
45,3750.8,0.69336,0.56185,1.2123,0.94502,0.95063,0.93341,0.79226,0.66621,0.51005,1.39068,0.005644,0.005644,0.005644
46,3834.65,0.69112,0.55114,1.2092,0.94225,0.94976,0.92927,0.79053,0.66812,0.49592,1.39046,0.005545,0.005545,0.005545
47,3918.5,0.68372,0.54685,1.20378,0.93671,0.91875,0.91059,0.7813,0.67227,0.5294,1.39933,0.005446,0.005446,0.005446
48,4002.37,0.68401,0.54605,1.20529,0.96565,0.93425,0.92166,0.78585,0.66943,0.52628,1.39198,0.005347,0.005347,0.005347
49,4086.23,0.68319,0.53951,1.20546,0.9701,0.92759,0.91949,0.78593,0.66776,0.52656,1.39176,0.005248,0.005248,0.005248
50,4170.1,0.67522,0.53496,1.20311,0.954,0.93945,0.92518,0.79172,0.66711,0.52646,1.39275,0.005149,0.005149,0.005149
51,4253.96,0.68174,0.53536,1.20369,0.95084,0.94212,0.92328,0.78727,0.66845,0.51509,1.39454,0.00505,0.00505,0.00505
52,4337.82,0.68201,0.53293,1.20433,0.95664,0.93592,0.91708,0.78616,0.66643,0.53092,1.39032,0.004951,0.004951,0.004951
53,4421.67,0.67427,0.52262,1.19863,0.95748,0.9256,0.91857,0.78749,0.663,0.5109,1.38583,0.004852,0.004852,0.004852
54,4505.53,0.6783,0.52408,1.20263,0.94194,0.93739,0.912,0.78322,0.66497,0.5168,1.38585,0.004753,0.004753,0.004753
55,4589.4,0.67445,0.51883,1.20297,0.94154,0.92208,0.90977,0.78463,0.66279,0.5277,1.39183,0.004654,0.004654,0.004654
56,4673.27,0.67489,0.51247,1.19483,0.95754,0.93463,0.92249,0.7946,0.65911,0.51078,1.38292,0.004555,0.004555,0.004555
57,4757.15,0.67576,0.50897,1.19854,0.941,0.93062,0.91144,0.78462,0.66374,0.51399,1.38962,0.004456,0.004456,0.004456
58,7528.44,0.66785,0.50056,1.19377,0.9695,0.93281,0.93167,0.79581,0.66057,0.50333,1.38265,0.004357,0.004357,0.004357
